Fecha,Gasolina_regular
2001-01-01,177776.5
2001-02-01,123115.99
2001-03-01,161726.42
2001-04-01,127338.74
2001-05-01,168730.19
2001-06-01,152899.09
2001-07-01,136299.13
2001-08-01,139365.07
2001-09-01,233643.75
2001-10-01,141550.22
2001-11-01,165841.46
2001-12-01,149217.67
2002-01-01,178585.93
2002-02-01,144447.25
2002-03-01,104673.64
2002-04-01,190339.0
2002-05-01,194830.1
2002-06-01,137050.8
2002-07-01,222408.0
2002-08-01,143795.0
2002-09-01,156956.9
2002-10-01,195426.8
2002-11-01,153185.7
2002-12-01,167596.71
2003-01-01,228269.5
2003-02-01,214490.7
2003-03-01,161257.48
2003-04-01,189824.89
2003-05-01,269981.86
2003-06-01,182254.23
2003-07-01,133668.2
2003-08-01,169903.86
2003-09-01,177217.53
2003-10-01,181668.03
2003-11-01,205624.08
2003-12-01,161477.73
2004-01-01,173427.23
2004-02-01,147939.23
2004-03-01,275539.38
2004-04-01,245156.34
2004-05-01,178387.8
2004-06-01,133341.0
2004-07-01,152075.75
2004-08-01,208592.85
2004-09-01,218499.24
2004-10-01,201907.67
2004-11-01,215838.32
2004-12-01,227094.71
2005-01-01,202374.33
2005-02-01,178104.72
2005-03-01,217667.69
2005-04-01,234492.03
2005-05-01,192734.4
2005-06-01,243343.68
2005-07-01,175946.3
2005-08-01,173810.38
2005-09-01,81015.3
2005-10-01,145325.65
2005-11-01,266018.37
2005-12-01,107374.0
2006-01-01,348503.85
2006-02-01,145048.2
2006-03-01,285783.25
2006-04-01,238824.61
2006-05-01,134212.3
2006-06-01,211562.74
2006-07-01,180942.18
2006-08-01,147245.49
2006-09-01,366193.77
2006-10-01,153997.35
2006-11-01,171327.01
2006-12-01,234319.3
2007-01-01,289550.59
2007-02-01,299077.04
2007-03-01,326317.75
2007-04-01,94844.9
2007-05-01,238404.83
2007-06-01,170064.98
2007-07-01,227660.47
2007-08-01,351306.27
2007-09-01,181015.83
2007-10-01,312120.18
2007-11-01,289282.55
2007-12-01,222108.35
2008-01-01,107885.65
2008-02-01,234830.1
2008-03-01,241800.33
2008-04-01,271554.27
2008-05-01,242628.16
2008-06-01,177838.7
2008-07-01,232129.2
2008-08-01,138376.72
2008-09-01,290621.26
2008-10-01,358036.44
2008-11-01,170365.32
2008-12-01,238398.92
2009-01-01,202484.53
2009-02-01,588346.36
2009-03-01,298459.25
2009-04-01,182218.96
2009-05-01,377337.48
2009-06-01,363676.29
2009-07-01,363911.51
2009-08-01,210495.68
2009-09-01,161783.68
2009-10-01,375067.23
2009-11-01,201213.1
2009-12-01,291525.48
2010-01-01,173918.35
2010-02-01,336005.72
